Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	Class	Seq_count	pattern	clades
tr|A0A1S7S9F4|A0A1S7S9F4_RHIRD_Putative_transcriptional_activator_protein_TraR_OS=Agrobacterium_tumefaciens_str._Kerr_14_OX=1183424_GN=AGR4C_pa30005_PE=4_SV=1	unreviewed	A0A1S7S9F4_RHIRD	Putative transcriptional activator protein TraR	AGR4C_pa30005	Agrobacterium tumefaciens str. Kerr 14	234	Rhizobium radiobacter (species), Agrobacterium tumefaciens complex (no rank), Agrobacterium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A1S7S9F4	clade_4
tr|A0A1S7U853|A0A1S7U853_9HYPH_Autoinducer-binding_domain-containing_protein_OS=Agrobacterium_deltaense_NCPPB_1641_OX=1183425_GN=AGR7A_pAt20097_PE=4_SV=1	unreviewed	A0A1S7U853_9HYPH	Autoinducer-binding domain-containing protein	AGR7A_pAt20097	Agrobacterium deltaense NCPPB 1641	253	Agrobacterium deltaense (species), Agrobacterium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	13	tr|A0A1S7U853	clade_4
tr|A0A1T4JVH7|A0A1T4JVH7_9HYPH_DNA-binding_transcriptional_regulator_CsgD_family_OS=Enhydrobacter_aerosaccus_OX=225324_GN=SAMN02745126_00506_PE=4_SV=1	unreviewed	A0A1T4JVH7_9HYPH	DNA-binding transcriptional regulator, CsgD family	SAMN02745126_00506	Enhydrobacter aerosaccus	240	Enhydrobacter (genus), Hyphomicrobiales incertae sedis (no rank), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	4	tr|A0A1T4JVH7	clade_6
tr|A0A1U6IL92|A0A1U6IL92_9SPHN_LuxR_family_transcriptional_regulator_quorum-sensing_system_regulator_CciR_OS=Novosphingobium_mathurense_OX=428990_GN=SAMN06295987_108132_PE=4_SV=1	unreviewed	A0A1U6IL92_9SPHN	LuxR family transcriptional regulator, quorum-sensing system regulator CciR	SAMN06295987_108132	Novosphingobium mathurense	266	Novosphingobium (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	163	tr|A0A1U6IL92	clade_5
tr|A0A1U7DJX1|A0A1U7DJX1_9RHOB_Regulatory_LuxR_family_protein_OS=Brevirhabdus_pacifica_OX=1267768_GN=BV394_11205_PE=4_SV=1	unreviewed	A0A1U7DJX1_9RHOB	Regulatory LuxR family protein	BV394_11205 CLV77_2930	Brevirhabdus pacifica	263	Brevirhabdus (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1U7DJX1	clade_4
tr|A0A1V0GYF8|A0A1V0GYF8_9RHOB_LuxR_family_transcriptional_regulator_OS=Paracoccus_yeei_OX=147645_GN=A6J80_21510_PE=4_SV=1	unreviewed	A0A1V0GYF8_9RHOB	LuxR family transcriptional regulator	A6J80_21510	Paracoccus yeei	264	Paracoccus (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1V0GYF8	clade_2
tr|A0A1V2AK89|A0A1V2AK89_RHIRD_HTH_luxR-type_domain-containing_protein_OS=Rhizobium_radiobacter_OX=358_GN=BV900_15040_PE=4_SV=1	unreviewed	A0A1V2AK89_RHIRD	HTH luxR-type domain-containing protein	BV900_15040	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	233	Agrobacterium tumefaciens complex (no rank), Agrobacterium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1V2AK89	clade_4
tr|A0A1V2K5K8|A0A1V2K5K8_PSECE_LuxR_family_transcriptional_regulator_OS=Pseudomonas_cedrina_subsp._cedrina_OX=76762_GN=BLL36_17800_PE=4_SV=1	unreviewed	A0A1V2K5K8_PSECE	LuxR family transcriptional regulator	BLL36_17800	Pseudomonas cedrina subsp. cedrina	239	Pseudomonas cedrina (species), Pseudomonas fluorescens group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	3	tr|A0A1V2K5K8	clade_6
tr|A0A1V5CCH4|A0A1V5CCH4_9DELT_Transcriptional_activator_protein_LuxR_OS=Syntrophorhabdaceae_bacterium_PtaU1.Bin034_OX=1811715_GN=luxR_1_PE=4_SV=1	unreviewed	A0A1V5CCH4_9DELT	Transcriptional activator protein LuxR	luxR_1 A4E57_01911	Syntrophorhabdaceae bacterium PtaU1.Bin034	260	unclassified Syntrophorhabdaceae (no rank), Syntrophorhabdaceae (family), Syntrophorhabdales (order), Deltaproteobacteria (class), delta/epsilon subdivisions (subphylum), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Deltaproteobacteria	6	tr|A0A1V5CCH4	clade_6
tr|A0A1W0CCI5|A0A1W0CCI5_9NEIS_HTH_luxR-type_domain-containing_protein_OS=Chromobacterium_haemolyticum_OX=394935_GN=B0T45_21675_PE=4_SV=1	unreviewed	A0A1W0CCI5_9NEIS	HTH luxR-type domain-containing protein	B0T45_21675	Chromobacterium haemolyticum	242	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A1W0CCI5	clade_2
tr|A0A1W2C742|A0A1W2C742_9HYPH_DNA-binding_transcriptional_regulator_CsgD_family_OS=Rhizobium_sp._RU36D_OX=1907415_GN=SAMN05880593_10792_PE=4_SV=1	unreviewed	A0A1W2C742_9HYPH	DNA-binding transcriptional regulator, CsgD family	SAMN05880593_10792	Rhizobium sp. RU36D	230	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1W2C742	clade_1
tr|A0A1W6ZLN1|A0A1W6ZLN1_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Pseudorhodoplanes_sinuspersici_OX=1235591_GN=CAK95_03675_PE=4_SV=1	unreviewed	A0A1W6ZLN1_9HYPH	HTH luxR-type domain-containing protein	CAK95_03675	Pseudorhodoplanes sinuspersici	246	Pseudorhodoplanes (genus), Hyphomicrobiales incertae sedis (no rank), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	15	tr|A0A1W6ZLN1	clade_5
tr|A0A1W9I7P1|A0A1W9I7P1_9PROT_HTH_luxR-type_domain-containing_protein_OS=Proteobacteria_bacterium_SG_bin9_OX=1827385_GN=A4S14_12105_PE=4_SV=1	unreviewed	A0A1W9I7P1_9PROT	HTH luxR-type domain-containing protein	A4S14_12105	Proteobacteria bacterium SG_bin9	245	unclassified Pseudomonadota (no rank), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)		3	tr|A0A1W9I7P1	clade_5
tr|A0A1W9KJC2|A0A1W9KJC2_9PROT_HTH_luxR-type_domain-containing_protein_OS=Proteobacteria_bacterium_ST_bin15_OX=1978763_GN=BVN31_04450_PE=4_SV=1	unreviewed	A0A1W9KJC2_9PROT	HTH luxR-type domain-containing protein	BVN31_04450	Proteobacteria bacterium ST_bin15	244	unclassified Pseudomonadota (no rank), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)		1	tr|A0A1W9KJC2	clade_5
tr|A0A1X0T6X8|A0A1X0T6X8_9HYPH_Transcriptional_regulator_OS=Aurantimonas_sp._22II-16-19i_OX=1317114_GN=ATO4_04837_PE=4_SV=1	unreviewed	A0A1X0T6X8_9HYPH	Transcriptional regulator	ATO4_04837	Aurantimonas sp. 22II-16-19i	243	unclassified Aurantimonas (no rank), Aurantimonas (genus), Aurantimonadaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	4	tr|A0A1X0T6X8	clade_5
tr|A0A1X0WH35|A0A1X0WH35_9GAMM_HTH_luxR-type_domain-containing_protein_OS=Rouxiella_badensis_OX=1646377_GN=BS640_07225_PE=4_SV=1	unreviewed	A0A1X0WH35_9GAMM	HTH luxR-type domain-containing protein	BS640_07225	Rouxiella badensis	259	Rouxiella (genus), Yersiniaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	4	tr|A0A1X0WH35	clade_6
tr|A0A1X0XZJ6|A0A1X0XZJ6_9DELT_HTH_luxR-type_domain-containing_protein_OS=Geothermobacter_hydrogeniphilus_OX=1969733_GN=B5V00_12715_PE=4_SV=1	unreviewed	A0A1X0XZJ6_9DELT	HTH luxR-type domain-containing protein	B5V00_12715	Geothermobacter hydrogeniphilus	260	Geothermobacter (genus), Geobacteraceae (family), Desulfuromonadales (order), Deltaproteobacteria (class), delta/epsilon subdivisions (subphylum), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Deltaproteobacteria	2	tr|A0A1X0XZJ6	clade_6
tr|A0A1X1ETS2|A0A1X1ETS2_PANCY_HTH_luxR-type_domain-containing_protein_OS=Pantoea_cypripedii_OX=55209_GN=HA50_07915_PE=4_SV=1	unreviewed	A0A1X1ETS2_PANCY	HTH luxR-type domain-containing protein	HA50_07915	Pantoea cypripedii (Pectobacterium cypripedii) (Erwinia cypripedii)	238	Pantoea (genus), Erwiniaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	2	tr|A0A1X1ETS2	clade_6
tr|A0A1X1PK01|A0A1X1PK01_9BURK_HTH_luxR-type_domain-containing_protein_OS=Burkholderia_puraquae_OX=1904757_GN=B7G54_10815_PE=4_SV=1	unreviewed	A0A1X1PK01_9BURK	HTH luxR-type domain-containing protein	B7G54_10815	Burkholderia puraquae	250	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	34	tr|A0A1X1PK01	clade_6
tr|A0A1X7CKX0|A0A1X7CKX0_TRICW_LuxR_family_transcriptional_regulator_quorum-sensing_transcription_factor_LasR_OS=Trinickia_caryophylli_OX=28094_GN=SAMN06295900_101537_PE=4_SV=1	unreviewed	A0A1X7CKX0_TRICW	LuxR family transcriptional regulator, quorum-sensing transcription factor LasR	SAMN06295900_101537	Trinickia caryophylli (Paraburkholderia caryophylli)	242	Trinickia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A1X7CKX0	clade_6
tr|A0A1X7FKE6|A0A1X7FKE6_TRICW_LuxR_family_transcriptional_regulator_OS=Trinickia_caryophylli_OX=28094_GN=SAMN06295900_10993_PE=4_SV=1	unreviewed	A0A1X7FKE6_TRICW	LuxR family transcriptional regulator	SAMN06295900_10993	Trinickia caryophylli (Paraburkholderia caryophylli)	237	Trinickia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	2	tr|A0A1X7FKE6	clade_6
tr|A0A1X7Q929|A0A1X7Q929_AZOLI_Regulatory_protein_luxR_family_OS=Azospirillum_lipoferum_OX=193_GN=SAMN02982994_5720_PE=4_SV=1	unreviewed	A0A1X7Q929_AZOLI	Regulatory protein, luxR family	SAMN02982994_5720	Azospirillum lipoferum	247	Azospirillum (genus), Azospirillaceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1X7Q929	clade_2
tr|A0A1Y0YAQ7|A0A1Y0YAQ7_ACEPA_Transcriptional_activator_protein_AhyR/AsaR_OS=Acetobacter_pasteurianus_subsp._pasteurianus_OX=481145_GN=S1001342_02936_PE=4_SV=1	unreviewed	A0A1Y0YAQ7_ACEPA	Transcriptional activator protein AhyR/AsaR	S1001342_02936	Acetobacter pasteurianus subsp. pasteurianus	242	Acetobacter pasteurianus (species), Acetobacter (genus), Acetobacteraceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	4	tr|A0A1Y0YAQ7	clade_4
tr|A0A1Y1SFQ6|A0A1Y1SFQ6_9GAMM_DNA-binding_transcriptional_activator_SdiA_OS=Oceanococcus_atlanticus_OX=1317117_GN=ATO7_00005_PE=4_SV=1	unreviewed	A0A1Y1SFQ6_9GAMM	DNA-binding transcriptional activator SdiA	ATO7_00005	Oceanococcus atlanticus	241	Oceanococcus (genus), Ectothiorhodospiraceae (family), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	1	tr|A0A1Y1SFQ6	clade_2
tr|A0A1Y5PQI1|A0A1Y5PQI1_9SPHN_LuxR_family_transcriptional_regulator_OS=uncultured_Sphingopyxis_sp_OX=310581_GN=SPPYR_1153_PE=4_SV=1	unreviewed	A0A1Y5PQI1_9SPHN	LuxR family transcriptional regulator	SPPYR_1153	uncultured Sphingopyxis sp	269	environmental samples (no rank), Sphingopyxis (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	20	tr|A0A1Y5PQI1	clade_5
tr|A0A1Y5S9W2|A0A1Y5S9W2_9RHOB_Autoinducer_binding_domain_protein_OS=Pacificibacter_marinus_OX=658057_GN=PAM7971_01378_PE=4_SV=1	unreviewed	A0A1Y5S9W2_9RHOB	Autoinducer binding domain protein	PAM7971_01378	Pacificibacter marinus	243	Pacificibacter (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1Y5S9W2	clade_2
tr|A0A1Y6KCG9|A0A1Y6KCG9_9BRAD_Putative_N-acyl_homoserine_lactone_transcriptional_regulator_LuxR-like_OS=Bradyrhizobium_sp._ORS_285_OX=115808_GN=BRAD285_0436_PE=4_SV=1	unreviewed	A0A1Y6KCG9_9BRAD	Putative N-acyl homoserine lactone transcriptional regulator, LuxR-like	BRAD285_0436	Bradyrhizobium sp. ORS 285	244	unclassified Bradyrhizobium (no rank), Bradyrhizobium (genus), Nitrobacteraceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	14	tr|A0A1Y6KCG9	clade_5
tr|A0A1Y6KEN3|A0A1Y6KEN3_9BRAD_Putative_Transcriptional_regulator_LuxR_family_OS=Bradyrhizobium_sp._ORS_285_OX=115808_GN=BRAD285_3181_PE=4_SV=1	unreviewed	A0A1Y6KEN3_9BRAD	Putative Transcriptional regulator, LuxR family	BRAD285_3181	Bradyrhizobium sp. ORS 285	234	unclassified Bradyrhizobium (no rank), Bradyrhizobium (genus), Nitrobacteraceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1Y6KEN3	clade_5
tr|A0A1Z8KUW7|A0A1Z8KUW7_9PROT_HTH_luxR-type_domain-containing_protein_OS=Micavibrio_sp._TMED2_OX=1986633_GN=CBB62_10155_PE=4_SV=1	unreviewed	A0A1Z8KUW7_9PROT	HTH luxR-type domain-containing protein	CBB62_10155	Micavibrio sp. TMED2	247	unclassified Micavibrio (no rank), Micavibrio (genus), Pseudobdellovibrionaceae (family), Bdellovibrionales (order), Oligoflexia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oligoflexia	4	tr|A0A1Z8KUW7	clade_1
tr|A0A1Z9YC34|A0A1Z9YC34_9PROT_HTH_luxR-type_domain-containing_protein_OS=Hyphomonadaceae_bacterium_TMED5_OX=1986776_GN=CBB65_06835_PE=4_SV=1	unreviewed	A0A1Z9YC34_9PROT	HTH luxR-type domain-containing protein	CBB65_06835	Hyphomonadaceae bacterium TMED5	246	unclassified Hyphomonadaceae (no rank), Hyphomonadaceae (family), Hyphomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	7	tr|A0A1Z9YC34	clade_5
tr|A0A211ZNT6|A0A211ZNT6_9PROT_HTH_luxR-type_domain-containing_protein_OS=Inquilinus_limosus_OX=171674_GN=BWR60_11675_PE=4_SV=1	unreviewed	A0A211ZNT6_9PROT	HTH luxR-type domain-containing protein	BWR60_11675	Inquilinus limosus	247	Inquilinus (genus), Rhodospirillaceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	6	tr|A0A211ZNT6	clade_4
'tr|A0A212A6M0|A0A212A6M0 9RHOB HTH luxR-type domain-containing protein (Fragment) OS=Haematobacter genomosp. 1 OX=366618 GN=CDV49 18455 PE=4 SV=1'	unreviewed	A0A212A6M0_9RHOB	HTH luxR-type domain-containing protein	CDV49_18455	Haematobacter genomosp. 1	250	Haematobacter (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	4	tr|A0A212A6M0	
tr|A0A212AYS4|A0A212AYS4_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Haematobacter_missouriensis_OX=366616_GN=CDV52_01315_PE=4_SV=1	unreviewed	A0A212AYS4_9RHOB	HTH luxR-type domain-containing protein	CDV52_01315	Haematobacter missouriensis	266	Haematobacter (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A212AYS4	clade_2
tr|A0A228H426|A0A228H426_9BURK_HTH_luxR-type_domain-containing_protein_OS=Burkholderia_sp._AU15512_OX=2015345_GN=CFB43_09635_PE=4_SV=1	unreviewed	A0A228H426_9BURK	HTH luxR-type domain-containing protein	CFB43_09635	Burkholderia sp. AU15512	238	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	6	tr|A0A228H426	clade_6
tr|A0A238JA35|A0A238JA35_9RHOB_Spore_germination_protein_GerE_OS=Pelagimonas_phthalicica_OX=1037362_GN=gerE_PE=4_SV=1	unreviewed	A0A238JA35_9RHOB	Spore germination protein GerE	gerE TRP8649_01564	Pelagimonas phthalicica	237	Pelagimonas (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A238JA35	clade_2
tr|A0A239ENC1|A0A239ENC1_9BRAD_LuxR_family_transcriptional_regulator_quorum_sensing-dependent_transcriptional_regulator_OS=Tardiphaga_sp._OK246_OX=1855307_GN=SAMN05216374_1386_PE=4_SV=1	unreviewed	A0A239ENC1_9BRAD	LuxR family transcriptional regulator, quorum sensing-dependent transcriptional regulator	SAMN05216374_1386	Tardiphaga sp. OK246	235	unclassified Tardiphaga (no rank), Tardiphaga (genus), Nitrobacteraceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A239ENC1	clade_5
tr|A0A239LH86|A0A239LH86_CERSP_Transcriptional_regulator_LuxR_family_OS=_Luteovulum_sphaeroides_subsp._megalophilum_OX=418630_GN=SAMN05421763_10918_PE=4_SV=1	unreviewed	A0A239LH86_CERSP	Transcriptional regulator, LuxR family	SAMN05421763_10918	[Luteovulum] sphaeroides subsp. megalophilum	238	Cereibacter sphaeroides (species), Cereibacter (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	6	tr|A0A239LH86	clade_3
tr|A0A239PXN9|A0A239PXN9_9RHOB_DNA-binding_transcriptional_regulator_CsgD_family_OS=Paracoccus_seriniphilus_OX=184748_GN=SAMN05444959_108130_PE=4_SV=1	unreviewed	A0A239PXN9_9RHOB	DNA-binding transcriptional regulator, CsgD family	SAMN05444959_108130	Paracoccus seriniphilus	248	Paracoccus (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A239PXN9	clade_2
tr|A0A240A972|A0A240A972_SERFI_Transcriptional_activator_protein_luxR_OS=Serratia_ficaria_OX=61651_GN=luxR_PE=4_SV=1	unreviewed	A0A240A972_SERFI	Transcriptional activator protein luxR	luxR SAMEA4384070_00086	Serratia ficaria	233	Serratia (genus), Yersiniaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	1	tr|A0A240A972	clade_6
tr|A0A240AQY2|A0A240AQY2_SERFI_Transcriptional_activator_protein_lasR_OS=Serratia_ficaria_OX=61651_GN=lasR_2_PE=4_SV=1	unreviewed	A0A240AQY2_SERFI	Transcriptional activator protein lasR	lasR_2 SAMEA4384070_00528	Serratia ficaria	253	Serratia (genus), Yersiniaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	202	tr|A0A240AQY2	clade_6
tr|A0A254R4P5|A0A254R4P5_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Oceanicola_sp._22II-s10i_OX=1317116_GN=ATO6_19365_PE=4_SV=1	unreviewed	A0A254R4P5_9RHOB	HTH luxR-type domain-containing protein	ATO6_19365	Oceanicola sp. 22II-s10i	240	unclassified Oceanicola (no rank), Oceanicola (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A254R4P5	clade_4
tr|A0A256GAZ2|A0A256GAZ2_9HYPH_HTH-type_quorum_sensing-dependent_transcriptional_regulator_VjbR_OS=Brucella_grignonensis_OX=94627_GN=CEV33_4663_PE=4_SV=1	unreviewed	A0A256GAZ2_9HYPH	HTH-type quorum sensing-dependent transcriptional regulator VjbR	CEV33_4663	Brucella grignonensis	262	Brucella (genus), Brucella/Ochrobactrum group (no rank), Brucellaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A256GAZ2	clade_1
